real, image
-0.363636, -0.136364
-0.363636, -0.090909
-0.363636, -0.045455
-0.363636, -0.000000
-0.363636, 0.045455
-0.363636, 0.090909
-0.363636, 0.136364
-0.363636, 0.181818
-0.363636, 0.227273
-0.363636, 0.272727
-0.363636, 0.318182
-0.363636, 0.363636
-0.363636, 0.409091
-0.363636, 0.454545
-0.363636, 0.500000
-0.363636, 0.545455
-0.363636, 0.590909
-0.363636, 0.636364
-0.350000, -0.590909
-0.350000, -0.545455
-0.350000, -0.500000
-0.350000, -0.454545
-0.350000, -0.409091
-0.350000, -0.363636
-0.350000, -0.318182
-0.350000, -0.272727
-0.350000, -0.227273
-0.350000, -0.181818
-0.350000, -0.136364
-0.350000, -0.090909
-0.350000, -0.045455
-0.350000, -0.000000
-0.350000, 0.045455
-0.350000, 0.090909
-0.350000, 0.136364
-0.350000, 0.181818
-0.350000, 0.227273
-0.350000, 0.272727
-0.350000, 0.318182
-0.350000, 0.363636
-0.350000, 0.409091
-0.350000, 0.454545
-0.350000, 0.500000
-0.350000, 0.545455
-0.350000, 0.590909
-0.336364, -0.590909
-0.336364, -0.545455
-0.336364, -0.500000
-0.336364, -0.454545
-0.336364, -0.409091
-0.336364, -0.363636
-0.336364, -0.318182
-0.336364, -0.272727
-0.336364, -0.227273
-0.336364, -0.181818
-0.336364, -0.136364
-0.336364, -0.090909
-0.336364, -0.045455
-0.336364, -0.000000
-0.336364, 0.045455
-0.336364, 0.090909
-0.336364, 0.136364
-0.336364, 0.181818
-0.336364, 0.227273
-0.336364, 0.272727
-0.336364, 0.318182
-0.336364, 0.363636
-0.336364, 0.409091
-0.336364, 0.454545
-0.336364, 0.500000
-0.336364, 0.545455
-0.336364, 0.590909
-0.322727, -0.590909
-0.322727, -0.545455
-0.322727, -0.500000
-0.322727, -0.454545
-0.322727, -0.409091
-0.322727, -0.363636
-0.322727, -0.318182
-0.322727, -0.272727
-0.322727, -0.227273
-0.322727, -0.181818
-0.322727, -0.136364
-0.322727, -0.090909
-0.322727, -0.045455
-0.322727, -0.000000
-0.322727, 0.045455
-0.322727, 0.090909
-0.322727, 0.136364
-0.322727, 0.181818
-0.322727, 0.227273
-0.322727, 0.272727
-0.322727, 0.318182
-0.322727, 0.363636
-0.322727, 0.409091
-0.322727, 0.454545
-0.322727, 0.500000
-0.322727, 0.545455
-0.322727, 0.590909
-0.309091, -0.590909
-0.309091, -0.545455
-0.309091, -0.500000
-0.309091, -0.454545
-0.309091, -0.409091
-0.309091, -0.363636
-0.309091, -0.318182
-0.309091, -0.272727
-0.309091, -0.227273
-0.309091, -0.181818
-0.309091, -0.136364
-0.309091, -0.090909
-0.309091, -0.045455
-0.309091, -0.000000
-0.309091, 0.045455
-0.309091, 0.090909
-0.309091, 0.136364
-0.309091, 0.181818
-0.309091, 0.227273
-0.309091, 0.272727
-0.309091, 0.318182
-0.309091, 0.363636
-0.309091, 0.409091
-0.309091, 0.454545
-0.309091, 0.500000
-0.309091, 0.545455
-0.309091, 0.590909
-0.295455, -0.636364
-0.295455, -0.590909
-0.295455, -0.545455
-0.295455, -0.500000
-0.295455, -0.454545
-0.295455, -0.409091
-0.295455, -0.363636
-0.295455, -0.318182
-0.295455, -0.272727
-0.295455, -0.227273
-0.295455, -0.181818
-0.295455, -0.136364
-0.295455, -0.090909
-0.295455, -0.045455
-0.295455, -0.000000
-0.295455, 0.045455
-0.295455, 0.090909
-0.295455, 0.136364
-0.295455, 0.181818
-0.295455, 0.227273
-0.295455, 0.272727
-0.295455, 0.318182
-0.295455, 0.363636
-0.295455, 0.409091
-0.295455, 0.454545
-0.295455, 0.500000
-0.295455, 0.545455
-0.295455, 0.590909
-0.295455, 0.636364
-0.281818, -0.590909
-0.281818, -0.545455
-0.281818, -0.500000
-0.281818, -0.454545
-0.281818, -0.409091
-0.281818, -0.363636
-0.281818, -0.318182
-0.281818, -0.272727
-0.281818, -0.227273
-0.281818, -0.181818
-0.281818, -0.136364
-0.281818, -0.090909
-0.281818, -0.045455
-0.281818, -0.000000
-0.281818, 0.045455
-0.281818, 0.090909
-0.281818, 0.136364
-0.281818, 0.181818
-0.281818, 0.227273
-0.281818, 0.272727
-0.281818, 0.318182
-0.281818, 0.363636
-0.281818, 0.409091
-0.281818, 0.454545
-0.281818, 0.500000
-0.281818, 0.545455
-0.281818, 0.590909
-0.268182, -0.590909
-0.268182, -0.545455
-0.268182, -0.500000
-0.268182, -0.454545
-0.268182, -0.409091
-0.268182, -0.363636
-0.268182, -0.318182
-0.268182, -0.272727
-0.268182, -0.227273
-0.268182, -0.181818
-0.268182, -0.136364
-0.268182, -0.090909
-0.268182, -0.045455
-0.268182, -0.000000
